x_value,y_value,heading_value
2.87026,5.31647,0.881391
2.90222,5.35492,0.873057
2.9345,5.3931,0.864724
2.9671,5.43101,0.85639
3.00002,5.46865,0.848057
3.03325,5.50601,0.839724
3.06679,5.54309,0.831391
3.10063,5.5799,0.823057
3.13478,5.61642,0.814724
3.16924,5.65265,0.80639
3.20399,5.68859,0.798057
3.23905,5.72425,0.789724
3.2744,5.75961,0.78139
3.31004,5.79467,0.773057
3.34597,5.82944,0.764724
3.3822,5.86391,0.75639
3.41871,5.89807,0.748057
3.4555,5.93193,0.739724
3.49257,5.96548,0.73139
3.52992,5.99872,0.723057
3.56755,6.03165,0.714724
3.60545,6.06426,0.706391
3.64362,6.09655,0.698057
3.68205,6.12853,0.689724
3.72076,6.16019,0.681391
3.75972,6.19152,0.673057
3.79895,6.22252,0.664724
3.83843,6.2532,0.656391
3.87817,6.28355,0.648057
3.91816,6.31356,0.639724
3.95839,6.34325,0.631391
3.99888,6.37259,0.623057
4.0396,6.4016,0.614724
4.08057,6.43026,0.606391
4.12177,6.45859,0.598057
4.16321,6.48657,0.589724
4.20488,6.5142,0.581391
4.24678,6.54148,0.573057
4.2889,6.56842,0.564724
4.33125,6.595,0.556391
4.37382,6.62123,0.548057
4.4166,6.6471,0.539724
4.4596,6.67262,0.531391
4.50281,6.69778,0.523057
4.54623,6.72257,0.514724
4.58986,6.74701,0.506391
4.63368,6.77107,0.498057
4.67771,6.79478,0.489724
4.72193,6.81811,0.481391
4.76634,6.84108,0.473057
4.81094,6.86367,0.464724
4.85573,6.88589,0.456391
4.90071,6.90774,0.448057
4.94586,6.92922,0.439724
4.99119,6.95031,0.431391
5.0367,6.97103,0.423057
5.08238,6.99137,0.414724
5.12822,7.01132,0.406391
5.17423,7.03089,0.398057
5.2204,7.05008,0.389724
5.26673,7.06889,0.381391
5.31321,7.0873,0.373057
5.35985,7.10533,0.364724
5.40664,7.12297,0.356391
5.45357,7.14022,0.348058
5.50064,7.15708,0.339724
5.54785,7.17354,0.331391
5.59519,7.18961,0.323058
5.64267,7.20529,0.314724
5.69028,7.22057,0.306391
5.73802,7.23545,0.298058
5.78587,7.24994,0.289724
5.83385,7.26402,0.281391
5.88194,7.27771,0.273058
5.93014,7.29099,0.264724
5.97845,7.30387,0.256391
6.02687,7.31635,0.248058
6.07539,7.32842,0.239724
6.12401,7.34009,0.231391
